5363938,cmn,你在倫敦玩得開心嗎？
5363939,cmn,在倫敦地鐵，上車時會有「注意間隙」提醒。
5363940,cmn,倫敦許多部份在十七世紀時被摧毀。
5363941,cmn,倫敦人對這座橋感到非常自豪。
5363942,cmn,倫敦的人口遠遠多於其他英國城市的人口。
5363943,cmn,在倫敦，警察總是擔心在列車上發現炸彈。
5363944,cmn,我們的工作應該要加快。
5363945,cmn,女孩在教室的角落啜泣。
5363946,cmn,也許Tom年紀太大，不適合做這件事。
5363947,cmn,父親和兄弟。
5363948,cmn,玫瑰是Teodoro的。
5363949,cmn,獅子是動物。
5363950,cmn,Tom，快一點。
5363951,cmn,我今天有個會議。
5363952,cmn,Tom只喝咖啡。
5363954,cmn,你為什麼問我？
5363956,cmn,Tom是我爺爺。
5363957,cmn,你怎麼到那的？
5363959,cmn,別挑戰我的耐心。
5363960,cmn,什麼都別問我。
5363961,cmn,你有關門嗎？
5363963,cmn,你現在滿意了嗎？
5363964,cmn,你會怕Tom嗎？
5363966,cmn,我的傘在哪？
5363967,cmn,Tom有兩個孩子。
5363969,cmn,請把門鎖上。
5363970,cmn,我會請Tom等。
5363971,cmn,Tom有說什麼嗎？
5363972,cmn,今天幾號？
5363973,cmn,他問你什麼？
5363975,cmn,Tom知道我的號碼。
5364038,cmn,別害怕犯錯。
5364039,cmn,Tom要我到機場接Mary。
5364041,cmn,我發現了一些有趣的東西。
5364042,cmn,我奶奶喜歡坐火車旅行。
5364043,cmn,Nick不需要來我辦公室。
5364100,cmn,我是你的鄰居。
5364101,cmn,Tom下星期不用去波士頓。
5364102,cmn,自由非常非常重要。
5364103,cmn,我在想有多少加拿大人住在波士頓。
5364125,cmn,同樣的事在這－波士頓發生。
5364126,cmn,這裡有些有趣的連結。
5364127,cmn,這裡有些非常重要的東西。
5364129,cmn,我們還會在波士頓待三個月。
5367935,cmn,這個相機多少錢？
5367972,cmn,他覷著眼睛仔細地看一幅畫。
5370513,cmn,昨晚我去了體育場。
5370515,cmn,你買了一個哈密瓜？
5370592,cmn,妻子的確想兒子了。
5370600,cmn,別再說了！
5370603,cmn,別說了！
5370741,cmn,地面高低不平，給部隊前進帶來了困難。
5371372,cmn,她是一位有經驗的律師。
5371453,cmn,日本和英國哪個大？
5372265,cmn,她沒有出現。
5372267,cmn,她消失了。
5372274,cmn,是個女孩，但她不害怕。
5372275,cmn,她承諾不再說謊話。
5372277,cmn,羊的叫聲是什麼？
5372278,cmn,她很了解最新的時尚趨勢。
5374479,cmn,他們在辦公室安裝了一台自動販賣機。
5375370,cmn,自由有價。
5378147,cmn,關於這個問題，有三個難點。
5378529,cmn,这个水果比那个更好！
5378536,cmn,This fruit is better than that one!
5378672,cmn,我礙著你了嗎？
5378725,cmn,我剛在我的博客上發表了一個新帖子。
5378859,cmn,你好，我是塞皮德。
5378896,cmn,因為不知道說什麼，所以我一言未發。
5378912,cmn,他的腿很長。
5378918,cmn,我應該昨天就把這個做完。
5378940,cmn,在我閒暇之時我喜歡和朋友們聚聚。
5378943,cmn,你是個噁心的大騙子！
5382894,cmn,你可以在這裡等到雪停。
5382951,cmn,她為了學習日文來到日本。
5382952,cmn,她將會成為日本第一個女性太空人。
5382953,cmn,她每天都去探視在醫院裡的老人，除了星期天。
